date,weekday,steps,wear_minutes,walking_minutes,total_calories,activity_calories,exercise_ex,walking_ex,lifestyle_ex
2022/10/13,木,0,12,0,1819,6,0.023,0,0.023
2022/10/14,金,2841,107,47,2021,208,2.443,1.94,0.503
2022/10/15,土,0,0,0,1813,0,0,0,0
2022/10/16,日,0,0,0,1813,0,0,0,0
2022/10/17,月,0,0,0,1814,1,0,0,0
2022/10/18,火,0,0,0,1813,0,0,0,0
2022/10/19,水,0,0,0,1813,0,0,0,0
2022/10/20,木,5,12,1,1819,6,0.027,0,0.027
2022/10/21,金,11655,644,155,2745,932,8.579,5.125,3.454
2022/10/22,土,7186,388,102,2479,666,5.363,2.186,3.177
2022/10/23,日,5624,520,70,2341,528,3.717,2.817,0.9
2022/10/24,月,4085,458,53,2235,422,2.533,1.609,0.924
2022/10/25,火,11678,718,139,2689,876,8.152,5.842,2.31
2022/10/26,水,15754,685,179,2737,924,8.568,7.826,0.742
2022/10/27,木,16413,674,218,2818,1005,10.15,8.603,1.547
2022/10/28,金,5010,131,64,2163,350,4.968,3.606,1.362
